Education,Experience,Job_Title,Age,Gender,Location,Salary_USD
High School,8,Manager,63,Male,England,26126.195987178322
PhD,11,Director,59,Male,Iran,192000.0
Bachelor,28,Manager,61,Female,Scotland,84333.69903140306
High School,29,Director,45,Male,China,30000.0
PhD,25,Analyst,26,Female,India,136862.84438106586
PhD,19,Director,27,Female,Nicaragua,184232.86105783694
PhD,4,Director,60,Female,Portugal,181501.74826765817
PhD,13,Director,49,Female,England,174927.34763759482
Bachelor,20,Engineer,25,Female,Hong,73471.2568577631
PhD,14,Analyst,58,Female,Dominican-Republic,125912.51399342305
Bachelor,23,Manager,23,Female,Yugoslavia,80523.63858690453
Master,1,Director,27,Female,Guatemala,116941.17437302544
High School,11,Manager,63,Male,Portugal,26525.855018868206
PhD,4,Manager,43,Male,United-States,147826.85941671784
Master,7,Director,44,Female,Outlying-US(Guam-USVI-etc),128721.71088044213
High School,28,Engineer,49,Male,Trinadad&Tobago,25726.256533956563
High School,4,Analyst,37,Male,El-Salvador,17431.133197258314
High School,26,Director,63,Male,Greece,30000.0
Master,7,Director,53,Female,Jamaica,126945.72334386657
Bachelor,20,Analyst,34,Male,Vietnam,64914.17096330699
Master,3,Engineer,62,Female,Cuba,93651.25503455965
PhD,19,Analyst,62,Male,Germany,131718.57391065694
PhD,19,Director,36,Female,Columbia,186686.61872542868
Master,7,Analyst,21,Female,Cuba,79838.22047226323
High School,21,Manager,62,Female,Philippines,26840.121429719486
Bachelor,12,Manager,20,Male,Thailand,83537.71821650647
Bachelor,23,Manager,35,Female,Mexico,87000.0
Bachelor,1,Engineer,36,Male,United-States,69754.43565238576
Bachelor,5,Manager,28,Male,Trinadad&Tobago,67096.98453878038
High School,14,Analyst,61,Female,France,18868.41513459951
Bachelor,10,Engineer,40,Female,South,68505.33793660658
High School,3,Analyst,63,Female,Dominican-Republic,19767.008092476273
PhD,2,Engineer,45,Male,Canada,130868.01308534948
High School,13,Analyst,20,Male,Laos,18485.30965524752
PhD,16,Director,59,Male,Columbia,192000.0
Bachelor,23,Engineer,22,Female,Philippines,75909.10934053367
Master,2,Director,26,Female,Nicaragua,116789.53601993856
PhD,24,Director,23,Female,Italy,192000.0
PhD,13,Director,50,Male,Trinadad&Tobago,184883.44863323774
High School,6,Director,33,Female,Peru,25611.671209889784
Master,7,Director,40,Male,Vietnam,140267.91336902088
PhD,2,Director,31,Female,Mexico,156128.8240797221
High School,11,Analyst,31,Male,Vietnam,18282.528886811087
Bachelor,7,Manager,25,Female,United-States,78758.54621563113
PhD,7,Engineer,36,Female,Puerto-Rico,150808.45428637596
Bachelor,7,Analyst,33,Male,El-Salvador,53301.308810941126
PhD,7,Analyst,28,Female,Outlying-US(Guam-USVI-etc),122255.4904075411
PhD,12,Analyst,47,Female,Canada,131870.99555997353
Master,19,Analyst,26,Male,Cambodia,93002.9819019875
PhD,22,Manager,64,Male,Hungary,162495.76285150376
High School,19,Manager,62,Male,Taiwan,26502.39802207696
Bachelor,19,Engineer,24,Male,Greece,72574.21621595521
Bachelor,20,Engineer,60,Female,Haiti,81487.4310467515
Bachelor,3,Analyst,61,Female,Italy,57066.86583144712
PhD,13,Engineer,35,Female,United-States,135119.699556325
High School,10,Director,20,Female,?,25320.558874514012
PhD,20,Analyst,59,Male,Canada,139800.0
Master,9,Engineer,57,Male,United-States,117092.15594464818
High School,6,Engineer,26,Female,Thailand,22104.607370079335
PhD,21,Director,49,Male,Yugoslavia,192000.0
PhD,22,Analyst,45,Female,Puerto-Rico,139800.0
Master,12,Manager,32,Female,Peru,111192.18034614838
PhD,2,Analyst,20,Female,Cuba,100256.76267519446
Master,12,Manager,48,Female,Philippines,130560.0
PhD,16,Engineer,27,Female,Canada,138127.74428991613
High School,13,Manager,21,Female,Nicaragua,23691.128927370057
Master,16,Analyst,64,Female,China,88941.26780146628
High School,13,Engineer,27,Male,Hong,23919.54428678701
High School,22,Manager,60,Female,Peru,27360.0
High School,25,Manager,46,Female,Cuba,27360.0
Bachelor,19,Analyst,60,Male,Mexico,68018.91747776218
Bachelor,26,Engineer,42,Male,Laos,79777.41024024501
Master,14,Engineer,34,Male,Italy,101141.94271095782
High School,29,Manager,51,Male,Scotland,27360.0
High School,13,Manager,41,Female,Puerto-Rico,23974.33520895645
Bachelor,10,Manager,27,Male,Puerto-Rico,79260.9019579618
PhD,22,Director,56,Male,China,192000.0
High School,7,Engineer,36,Male,?,23687.65788841335
Bachelor,5,Manager,26,Female,Italy,78270.98406228982
Master,17,Manager,62,Female,Puerto-Rico,126691.53377725229
Master,9,Engineer,40,Female,Nicaragua,105344.46069055887
PhD,27,Director,58,Male,Peru,192000.0
High School,6,Engineer,24,Female,El-Salvador,20358.200037585884
Bachelor,16,Director,36,Female,Peru,87265.8569549272
Bachelor,6,Analyst,54,Male,Vietnam,53670.072043056374
PhD,6,Engineer,34,Male,Cuba,136674.98643079159
Bachelor,28,Engineer,59,Male,United-States,81019.15562333794
Bachelor,18,Analyst,35,Male,Honduras,62115.1296848699
PhD,1,Engineer,44,Male,Scotland,140624.1807459453
Master,17,Analyst,34,Male,Vietnam,95823.40397831285
PhD,17,Director,30,Male,Columbia,173022.69029702895
PhD,1,Engineer,24,Male,Cambodia,148094.92346713057
Master,11,Analyst,40,Female,England,87703.5151496028
Master,13,Manager,61,Female,Thailand,130124.36036340498
PhD,1,Director,60,Male,Ecuador,171085.64273182524
High School,27,Director,31,Male,Cambodia,30000.0
Master,8,Manager,49,Female,Jamaica,129402.29093865772
PhD,23,Manager,23,Male,Guatemala,162425.81519605906
Bachelor,20,Analyst,64,Male,Peru,69000.0
High School,6,Manager,46,Male,Yugoslavia,27289.62368143634
Bachelor,5,Engineer,47,Male,Iran,68853.41229187418
Master,20,Analyst,22,Female,South,93038.4278841971
High School,5,Director,22,Male,Outlying-US(Guam-USVI-etc),25344.202037514384
PhD,6,Engineer,43,Female,Haiti,132193.33302907302
High School,29,Engineer,48,Male,Portugal,24422.14698002961
Master,13,Director,38,Female,Portugal,139331.71051590837
High School,27,Engineer,21,Female,Taiwan,24211.028496850126
PhD,18,Director,24,Male,France,179385.39601508598
PhD,20,Director,56,Female,Germany,192000.0
High School,13,Director,37,Female,Trinadad&Tobago,29988.918972132622
PhD,7,Director,44,Female,Cuba,183637.66364960058
High School,8,Analyst,45,Female,Yugoslavia,17704.25745274384
High School,21,Engineer,63,Female,United-States,24255.681151794903
High School,17,Manager,32,Male,Yugoslavia,26840.04615960605
High School,1,Analyst,54,Male,Guatemala,20686.706539442024
Master,24,Manager,41,Female,Cambodia,130560.0
PhD,16,Analyst,29,Female,Germany,126072.93908303296
High School,11,Engineer,56,Female,United-States,23342.411611498115
PhD,29,Director,63,Male,Cuba,187020.86922136368
Master,4,Manager,61,Male,Puerto-Rico,116147.45584994074
PhD,4,Analyst,26,Male,Greece,128521.82445155187
PhD,17,Engineer,37,Female,India,159014.01882255074
Bachelor,17,Engineer,51,Female,Honduras,76019.72642507893
Bachelor,10,Analyst,64,Male,Haiti,62283.241233443245
Bachelor,21,Director,26,Male,Thailand,96000.0
High School,21,Analyst,36,Female,Taiwan,20332.630451578494
Bachelor,6,Analyst,50,Male,Italy,62163.132275299875
Bachelor,25,Analyst,48,Male,Cambodia,67233.72496636208
Bachelor,25,Director,31,Male,Hong,96000.0
PhD,17,Manager,52,Female,Ecuador,167119.2950103599
High School,18,Analyst,58,Male,Canada,22080.0
PhD,22,Engineer,45,Male,Hungary,156534.71703134655
Bachelor,26,Manager,58,Female,El-Salvador,87000.0
Master,10,Engineer,49,Male,United-States,116293.91731475998
High School,13,Engineer,22,Female,Cuba,21619.429255303803
Bachelor,16,Analyst,39,Female,Peru,67412.25826043083
Master,7,Manager,32,Female,Dominican-Republic,126305.50094693677
High School,15,Analyst,38,Female,Philippines,20207.4958212047
Master,2,Engineer,20,Male,?,103752.73934567707
High School,5,Analyst,61,Male,Guatemala,20491.526964613302
Bachelor,17,Director,42,Male,?,95535.92956931551
PhD,5,Director,37,Female,Haiti,163385.56597802017
Master,8,Analyst,62,Male,Iran,86836.35502935451
Master,24,Analyst,24,Female,El-Salvador,96903.50109783803
Bachelor,28,Analyst,24,Male,Greece,64236.283499354715
High School,15,Analyst,38,Female,Trinadad&Tobago,17986.952103912077
PhD,8,Analyst,25,Female,Yugoslavia,121091.94262043193
Bachelor,23,Director,34,Female,Haiti,92729.7117907811
Bachelor,3,Manager,30,Male,Yugoslavia,75246.9761243818
PhD,23,Analyst,49,Female,Vietnam,134413.64918857074
High School,17,Manager,39,Female,Portugal,25295.880031429802
Master,28,Analyst,54,Male,Ireland,103680.0
Master,16,Manager,23,Female,United-States,127739.61654130023
PhD,16,Director,28,Female,India,177781.64736806194
Master,19,Engineer,46,Male,Outlying-US(Guam-USVI-etc),119230.44171314013
PhD,12,Manager,38,Female,Poland,153906.27816811
PhD,24,Director,24,Male,Puerto-Rico,189671.7917357709
PhD,15,Manager,27,Female,Honduras,169845.91598003867
Master,8,Director,62,Male,Peru,129178.26133353589
Bachelor,27,Engineer,49,Female,Greece,78351.43182328642
Master,3,Director,55,Male,Italy,137270.86109736416
Master,23,Analyst,35,Female,Jamaica,98113.26985911079
PhD,18,Analyst,23,Female,China,135246.16940893832
Master,4,Manager,23,Female,China,111987.97402520399
PhD,8,Analyst,26,Male,Hong,111144.64462982197
PhD,14,Analyst,22,Female,China,121029.09487654372
Master,28,Engineer,57,Male,Puerto-Rico,115738.78992565417
Master,17,Analyst,44,Male,Nicaragua,85869.17270317524
PhD,6,Analyst,55,Male,Vietnam,134038.8534822669
High School,5,Manager,23,Female,Puerto-Rico,22483.39273330672
Bachelor,22,Analyst,27,Female,Columbia,63592.58656808174
Master,14,Analyst,47,Female,Poland,88790.13679739951
PhD,6,Director,22,Male,Mexico,167511.63463196772
Master,20,Director,27,Female,United-States,132910.1664272922
Bachelor,12,Manager,30,Male,Laos,78188.54319158422
Master,9,Manager,25,Male,Columbia,118260.90501766994
Bachelor,1,Manager,60,Female,Haiti,76125.19837443654
High School,18,Analyst,42,Male,Haiti,20053.819174638797
Master,6,Analyst,63,Male,Ecuador,79221.81286129811
Master,29,Analyst,21,Male,Nicaragua,101341.74017162526
PhD,5,Analyst,26,Female,Laos,111644.62425263274
High School,2,Analyst,48,Male,China,18481.254083182703
PhD,6,Analyst,25,Female,Columbia,122656.86684589526
Master,17,Director,60,Male,England,144000.0
PhD,7,Manager,30,Male,Hungary,140192.25653453084
High School,25,Manager,27,Female,Dominican-Republic,24885.198703987888
High School,9,Analyst,49,Male,South,18659.362392274237
Master,23,Engineer,56,Male,Columbia,116611.43482794914
High School,20,Director,38,Female,France,29030.690076411585
Master,5,Manager,22,Female,Scotland,113566.73313679623
PhD,21,Director,61,Male,France,192000.0
Master,11,Analyst,49,Male,Yugoslavia,98039.48665842904
Master,11,Director,52,Male,China,144000.0
PhD,28,Manager,45,Male,Philippines,170217.8781777379
High School,4,Director,56,Male,Philippines,30000.0
High School,23,Director,39,Male,India,30000.0
High School,29,Engineer,52,Female,Vietnam,26040.0
Bachelor,6,Director,47,Male,Philippines,90407.61261829652
Master,27,Manager,46,Female,Canada,130560.0
High School,10,Manager,48,Female,Guatemala,27360.0
Bachelor,9,Manager,43,Male,?,77781.7189903517
Master,29,Manager,38,Female,Cuba,130560.0
PhD,18,Analyst,25,Male,Honduras,127583.03634481176
Master,20,Engineer,21,Female,Taiwan,104717.77829881056
Master,9,Analyst,41,Male,Hungary,92112.63807792711
PhD,28,Manager,54,Male,Italy,174600.0
Bachelor,11,Director,21,Female,Ireland,91138.66877362262
High School,2,Manager,49,Female,Trinadad&Tobago,25039.39019759729
High School,15,Manager,54,Male,Laos,25973.85750223059
High School,6,Engineer,34,Female,Yugoslavia,23291.34351529098
PhD,25,Engineer,62,Male,Peru,165900.0
PhD,17,Director,50,Male,Dominican-Republic,184563.82940027816
High School,4,Analyst,29,Female,Outlying-US(Guam-USVI-etc),16403.574252414855
Master,8,Manager,47,Female,Yugoslavia,123255.30829715308
Master,29,Engineer,27,Male,China,111848.50668173777
High School,2,Director,32,Male,Vietnam,25660.37728070625
High School,24,Manager,49,Male,China,27253.918141027123
PhD,9,Analyst,56,Male,Haiti,117730.71885870212
High School,1,Analyst,58,Male,Trinadad&Tobago,17244.000131184173
Bachelor,24,Engineer,48,Male,Honduras,80032.30542600292
Master,6,Analyst,41,Male,Puerto-Rico,82349.32887108729
